property_id,latitude,longitude,crime
c03d82e0169b9646f9628c766a820a96,51.5189256,-0.1730681,1877
0eaca9c01a72e47b55656d34229fbbf1,51.359806,-0.2012795,400
0e91ce654b6fd59d84c47e7c66fcb6ad,51.5641695,-0.1009081,1431
6afcfb6a633839bcb514e31960abbe15,51.529622,-0.167885,1116
45112861947e9869c0cff0d2b041d13b,51.4297874,-0.170103,732
e51abaded102fdf9a3a8a1e610e4e50a,51.5072178,-0.1275862,6120
7d5a7c57203f5ded5cbad0552d7910e5,51.529622,-0.167885,1116
5b857c074f62efdd07e20c54af1187cb,51.4676639,-0.1113757,1441
f2f6aa30044d2d2ef8e19a4d1301c12e,51.4283695,-0.1764467,713
404c392b174073c3e900f6c849e8f5b2,51.5086937,-0.1484713,5843
5566cfa0f58663c6ac134564efa2cd79,51.5297257,-0.1678398,1113
5fd483ac41694d22294f67522ae0de9c,51.4376149,-0.1266561,709
9a4ad9b24c0b50be11a74a62da7205b5,51.529622,-0.167885,1116
7b4e3a5416301627d2896d9d16a56f34,51.5395572,-0.1024559,1712
52bed3c32aa0225ffb113aa0f8d583f8,51.4948323,0.0122541,475
29c2ba9dba1431ba1205e93342485f5e,51.5028284,-0.0964968,2117
68e1e6935d41ad280817c846e2e8a740,51.4559791,-0.1917484,496
8266cce174b3c27890f9b783fa166558,51.49851719999999,-0.0489656,683
8dfd57e537da4780dcaad5e5fab73bc5,51.4807859,-0.1328893,1155
788a76d5f0d30afd84fd51bf78a8563a,51.5268153,-0.1634943,1587
87137d35668f87ce1c03be42960f1f44,51.4926027,-0.2331046,1062
e2d8d1b983f3ef5486ea8bb3d1f77ae8,51.5143461,-0.151418,5511
828c0eea7735b0d975d3b8665c1c55ec,51.4546845,-0.0692055,398
c42ac65b5afd4f537d0e558a3f1d35fb,51.5289122,-0.2025082,1322
d19444362092585015e997daa706b033,51.4969605,-0.1803895,1254
5c63bc66136f382e758f14661d8416ce,51.6039783,-0.2421234,351
e0c1c85879f6deb4b3bf4fe26d2b99a7,51.4203312,-0.3253854,135
1aee44727814ba52ecbebae1a2c5ec98,51.4906867,0.004019,531
2e7e6920a0bba18b5e6debd246f2bc2b,51.4577795,-0.1893971,568
528032675af90525ed63754259baadcf,-31.8346332,115.7607093,0
33f3d76b8c499fefd746a1dfcd2d3d11,51.492929,-0.0967875,1991
7e926389ee137a2772eefa38beaff2de,51.4998724,-0.1858819,1174
5fed30ac5633d8d6f688a7373dc47b1c,51.52815709999999,-0.0895212,2092
eb60e0a9360fb44e1116c005c0e5b8f1,51.6040912,-0.0588751,814
c21739a6352b2a11d7fbe637aff3bf72,51.5412658,-0.1942197,1149
7f256b34b2305e0c01d2df39c6509c58,51.545584,0.0021171,1317
9fc4b7965064b95034ca66e55bec5bbc,51.5364179,-0.1632798,1099
cdae9e0af5a752d1b3afa5e6ab66bf00,51.5025862,-0.2174882,1575
d37746d1b16afc3ead9def5d167d0372,51.5025862,-0.2174882,1575
2ee152c43a46581d0855a50f13ebb91d,51.5162269,0.0102624,771
314007e1c673eef2302d20936ca144d0,51.5762413,-0.11434,1112
26e583c118b2fa1acab6294779a45c50,51.5499538,-0.1687063,855
f7d45a000e4fafab1231c0a30f06cfd7,51.48202029999999,-0.1444907,1201
213516febef0941bbd7bc73a15a4d70c,51.457509,0.0052043,678
3aaf437922b5fb1078485c81fc80a11e,51.4612592,-0.1519193,813
ff11875ea012e7a8a1a2005439e64adb,51.4998724,-0.1858819,1174
024cf79409a639d28a7d84c362a997cc,51.521304,-0.1722519,1828
f10274444286140fe9425998965d2aba,51.4974984,-0.0151176,744
51411a71faa95b5f58b82aff4c39402c,51.502653,0.0353284,337
776b60557208f3b22befc0676477e1ab,51.4639405,-0.1481504,902
9a4447d9fab2c6344309f4b79d6456b5,51.4843946,-0.2167468,905
b4febc5a7746ffe1e250bd0ab960303e,51.5043933,-0.0457696,899
fc79ec4fb67793c405ac76a47fc56fcd,51.5634977,0.0080805,635
2ef222d612273ce9a85016454e5d9f86,51.5208814,-0.076898,2259
39c8b56befc8676a04c6fe5ccba75a31,51.5703214,-0.0252862,689
0ee4ff8504b69b0fe928f0afe42e8bad,51.423903,-0.0319646,488
3252a9ebb1eb76a77fd2b7845e9ad06a,51.485455,-0.1028439,1646
a5d61405e7997adc8b08e6ba152a46f5,51.4202513,-0.1749588,730
074c3c19605b2211dcb2b30a8cb6f5e2,51.5445349,0.0496642,1008
9c593268ae163a910622cf8c1a2dd020,51.5090286,0.0134757,816
7aaf6a50c674158b1d96fcb95bea7035,51.5443588,-0.0269751,1002
ee6fe09deebe6ac75692121eb359f9c3,51.5080806,-0.1237903,5971
f1f6c45300f0573c7a7fa2219f6166bc,51.5455627,-0.1798697,1177
2d13e1fc02d2a93c55cdb66036ce7a10,51.4999492,-0.1669548,1190
67c2e88ef792dc85a9299195e5c5341c,51.51864190000001,-0.0573048999999999,1835
53f93dcc2696fbf515cef808c51174a1,51.4984924,-0.0259151,838
6e694ece0dcf1b4722cb65a8bc4e4e48,51.541295,0.0058709,1432
eeb5d041cb97304986d4361673f745c4,51.4400938,-0.214949,190
22990e24c5b371c11e37e920338b8441,51.4533061,-0.1205798,1224
581e91e2de86ba2f6a58ae274493f095,51.5001337,-0.3174895,585
01e9d6421dbf96ba1332cb57ca028977,51.4813159,-0.1325874,1182
cb5b3594a81f56448b7e16b44bdf95f8,51.5189256,-0.1730681,1877
abdb19f759657f029299822b85060643,51.5068967,0.0737662999999999,276
0bb1ae444ef660932c2f395f14678c2b,51.5282153,-0.1898103,1406
6f4e93d5e90ec31fb3b8fb4910425bb1,51.5262988,-0.1878108,1588
470332fa9e8b6ce0acd9ca5be59bb997,51.5253629,-0.1881437,1598
bef6e5be87308b375f21666bf01b5537,51.4993791,-0.3061432,594
f10b3e4b2125c21082ecfe01521baaa0,51.505114,-0.0423469,971
45a9c9d278b3ee5cf3b649bad69d31ad,51.4530646,-0.0772915,374
cc722b3217a37d6fa6593e65b7e29367,51.5405156,-0.1843922,1139
6915f99fdaf14039fd7afda074819971,51.5999521,-0.1717909,412
c90f59aa72d6659cdaf39473b8c7bf91,51.480079,-0.194504,953
8bf2a87f7a86232ddad04837da43bc1b,51.481656,-0.1429994,1122
823ed7f459e6f7bb87cc7541b924ee63,51.481281,-0.1326213,1183
459d21f47ed6081b1ef7de2b2044967d,51.4592683,-0.3030575,219
66e87c444178ec4524df05acb52089c8,51.5189256,-0.1730681,1877
f0b2b1ed2f16837ce9c2c6e02f0deba7,51.5229155,-0.2001625,1446
82c1da341ccc3cdd9ee426b52cdd41cb,51.5754744,-0.11667,1124
e8089c9abc83ade6aaf5cadcd02a7c0a,51.5270854,-0.096797,2107
e0b7d32da23b60edd180b3ce766a55b3,51.5086937,-0.1484713,5843
f5883d739c55b160bfd87f33b852b5b0,51.4882219,-0.2079667,1129
0f84a2116eb4a8969964355193eca8aa,51.4574983,-0.2261501,459
200e67a2adbd4f1f9190d6d4a1aed693,51.5121945,-0.2086389,1664
770658db431dfe6ff3ad95622bcd66d9,51.5244683,-0.0574809,1884
c93a10d6716cc90266ca0fcc44b012b6,51.4496382,-0.1179015,934
a7c1dc6d2c131af48fdc6e68e06ac50e,51.5245575,-0.0561695,1838
3d2e3e1cb6582f84cb288393868bf44b,51.5245575,-0.0561695,1838
4b3e94a3d112adc8060ad885d5fdf47d,51.51313829999999,-0.1522222,5301
28761ee50b0eb96f30c61b5cc341d62f,51.621756,-0.1055953,402
0b44ecf6a47d526b82eb0194ace21951,51.394663,-0.1946249,287
f329a6292a881bc29c8387009a1f2fbb,51.5178304,-0.0670581,2072
6a09984766b7ef99218a3fb8f4f245f6,51.5178304,-0.0670581,2072
a72f109862933564755025bab304e042,51.5245575,-0.0561695,1838
95fabfeb1689aac6d0fd42e4c01be229,51.47811420000001,-0.1469996,805
494de60b907b7bf72839d105b10c8723,51.5189256,-0.1730681,1877
bb07efe4755ee293ff4166e2f7c4f031,51.4394827,0.0727142,172
20d0519298c9c68c7877df1eb78152cd,51.631089,0.0002165,196
e4a2f86e296571b4756b72c572f49244,51.5409018,-0.1743372,1082
4e79e8be109904006d23d59b8df426ab,51.5189256,-0.1730681,1877
e49a225a053358b9b38ffa0d7b3451a8,51.6488165,-0.0782884,460
d080173b6ffe9d6a837b06ecaa599ce8,51.5287203,-0.2014234,1365
932c0a213efbdda3a87f69ba0adb1e19,51.4720548,-0.2535028,211
8e41172c6b41eff18e7cb915502efcc3,51.5086173,-0.0083977,1116
c1c2daa6c67ca22d5b00d52e3cffbbf2,51.5330322,-0.1766523,1164
c12abccc8690eb3211b3860615422762,51.5144803,-0.1898553,1473
7d930b62865cf6678c0ab79ae92f6959,51.5218975,-0.1531328,3603
389f9897c6852c2eef3baf62fea7cc60,51.5003349,-0.0177778,843
eeee568eafdab1043c64a6cdaa6952a1,51.4617121,-0.1156997,1337
b8d3a72797c3357d1219342e75dd52fa,51.5728114,-0.1000159,1147
911ace6cceba9a0269255e9a11482923,51.514471,-0.0755039,2173
327d11cd48882ac4e890f2631173de98,51.4746761,-0.1543773,767
ae8e30980658c1241ff48fc63ec58b9a,51.4249292,-0.1406516,627
c34b750107b6e5dd04c819b58fa16ecc,51.593575,-0.172848,323
360a22a27bd2c9361dbd50564fa0a2dc,51.5245727,-0.0229726,1129
cd72462416ea5a89047a1daf6a3fdaf0,51.4018132,-0.2167825,169
b086839de2133c3830ca1d8bcbf31253,51.4277891,-0.1944859,506
883c8cf4e76a763edc333d567ec4450f,51.4277891,-0.1944859,506
6aacdd9f4741c62cfbdb8efd1e4397c4,51.4414834,-0.1557779,504
ea2a8806e69bdee4f88ef20049139242,51.4718739,-0.3345783,333
94e019621dc04aece86e12aa829bd0e5,51.4015151,-0.0762156,549
